tanggal,positif,sembuh,meninggal,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2020-07-19,86521.0,45401.0,4143.0,0.04788432866009408,0.5247396585799979,10.958484190200338
2020-07-20,88214.0,46977.0,4239.0,0.04805359693472691,0.5325345183304238,11.08209483368719
2020-07-21,89869.0,48466.0,4320.0,0.0480699685097197,0.5392960865259433,11.218981481481482
2020-07-22,91751.0,50255.0,4459.0,0.048598925352312236,0.5477324497825636,11.270464229647903
2020-07-23,93657.0,52164.0,4576.0,0.048859134928515756,0.5569685127646625,11.399475524475525
2020-07-24,95418.0,53945.0,4665.0,0.0488901465132365,0.5653545452639963,11.563772775991426
2020-07-25,97286.0,55354.0,4714.0,0.048455070616532696,0.5689821762637995,11.742469240560034
2020-07-26,98778.0,56655.0,4781.0,0.04840146591346251,0.5735588896312944,11.8500313741895
2020-07-27,100303.0,58173.0,4838.0,0.0482338514301666,0.5799726827712033,12.024183546920215
2020-07-28,102051.0,60539.0,4901.0,0.048025007104290994,0.5932229963449648,12.352377065904918
2020-07-29,104432.0,62138.0,4975.0,0.04763865481844645,0.5950091925846483,12.490050251256282
2020-07-30,106336.0,64292.0,5058.0,0.04756620523623232,0.604611796569365,12.71095294582839
2020-07-31,108376.0,65907.0,5131.0,0.047344430501217984,0.6081327969292094,12.844864548820892
2020-08-01,109936.0,67919.0,5193.0,0.0472365740066948,0.617804904671809,13.0789524359715
2020-08-02,111455.0,68975.0,5236.0,0.046978601229195636,0.618859629446862,13.17322383498854
2020-08-03,113134.0,70237.0,5302.0,0.046864779818622165,0.6208301659978432,13.24726518294983
2020-08-04,115056.0,72050.0,5388.0,0.046829370045890696,0.6262167987762481,13.372308834446919
2020-08-05,116871.0,73889.0,5452.0,0.04664972491037126,0.6322269853085881,13.552641232575201
2020-08-06,118753.0,75645.0,5521.0,0.046491457057926955,0.6369944338248297,13.70132222423474
2020-08-07,121226.0,77557.0,5593.0,0.04613696731724218,0.6397719961064459,13.866797782942964
2020-08-08,123503.0,79306.0,5658.0,0.04581265232423504,0.6421382476539031,14.016613644397314
2020-08-09,125396.0,80952.0,5723.0,0.0456394143353855,0.6455708316054739,14.145028831032675
