tanggal,meninggal,sembuh,positif,positif_aktif,meninggal harian,sembuh harian,self-isolation harian,dirawat harian,positif harian,positif aktif harian,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2021-12-08,13583,850364,864264,317,1,45,-1,-4,41,-5,0.01571626262345765,0.983916951301917,62.60502098210999
2021-12-09,13583,850439,864300,278,0,75,-17,-22,36,-39,0.015715608006479233,0.9839627444174477,62.61054259000221
2021-12-10,13583,850475,864326,268,0,36,-9,-1,26,-10,0.015715135261463845,0.9839747965466734,62.613192961790475
2021-12-11,13583,850517,864358,258,0,42,-12,2,32,-10,0.015714553460487436,0.9839869591072218,62.61628506221012
2021-12-12,13583,850557,864390,250,0,40,-4,-4,32,-8,0.015713971702587953,0.9839968069968417,62.619229919752634
2021-12-13,13583,850595,864406,228,0,38,-17,-5,16,-22,0.01571368083979056,0.9840225542164215,62.622027534418024
2021-12-14,13583,850621,864426,222,0,26,-8,2,20,-6,0.015713317276435462,0.9840298649045726,62.62394169182066
2021-12-15,13583,850649,864449,217,0,28,1,-6,23,-5,0.015712899199374398,0.9840360738458833,62.62600309210042
2021-12-16,13583,850685,864489,221,0,36,4,0,40,4,0.015712172161820453,0.9840321854876117,62.62865346388868
2021-12-17,13583,850719,864527,225,0,34,10,-6,38,4,0.01571148153845976,0.9840282605401567,62.631156592799826
2021-12-18,13583,850751,864601,267,0,32,18,24,74,42,0.015710136814553764,0.9839810502185401,62.633512478833836
2021-12-19,13583,850797,864644,264,0,46,4,-7,43,-3,0.015709355526667624,0.9839853165002013,62.63689906500773
2021-12-20,13584,850817,864682,281,1,20,10,7,38,17,0.01570982164541415,0.9839652033926923,62.633760306242635
2021-12-21,13584,850837,864737,316,0,20,10,25,55,35,0.01570882245121927,0.9839257485223831,62.635232626619555
2021-12-22,13584,850858,864780,338,0,21,16,6,43,22,0.015708041351557622,0.9839011077962025,62.63677856301531
2021-12-23,13584,850910,864796,302,0,52,-19,-17,16,-36,0.01570775072965185,0.9839430339640793,62.64060659599529
2021-12-24,13584,850939,864865,342,0,29,11,29,69,40,0.01570649754585976,0.9838980650159274,62.642741460541814
2021-12-25,13584,850984,864945,377,0,45,2,33,80,35,0.01570504482944002,0.9838590893062564,62.64605418138987
2021-12-26,13584,851008,864992,400,0,24,6,17,47,23,0.015704191483851875,0.9838333764936554,62.647820965842165
2021-12-27,13584,851096,865034,354,0,88,-5,-41,42,-46,0.015703428998166544,0.9838873385323582,62.65429917550059
2021-12-28,13585,851138,865130,407,1,42,65,-12,96,53,0.015702842347392876,0.9838267081247904,62.652778800147225
2021-12-29,13587,851167,865157,403,2,29,2,-6,27,-4,0.015704664008960225,0.9838295245833993,62.64569073378965
2021-12-30,13587,851201,865210,422,0,34,13,6,53,19,0.015703701991424047,0.9838085551484611,62.648193125782
2021-12-31,13588,851222,865297,487,1,21,44,21,87,65,0.015703278758622763,0.983733908704179,62.64512805416544
2022-01-01,13588,851280,865415,547,0,58,47,13,118,60,0.015701137604501886,0.9836667956991733,62.64939652634678
2022-01-02,13588,851386,865518,544,0,106,86,-89,103,-3,0.015699269108210342,0.983672205546274,62.65719752722991
2022-01-03,13588,851408,865690,694,0,22,126,24,172,150,0.01569614989199367,0.983502177453823,62.6588166028849
2022-01-04,13588,851449,865805,768,0,41,73,1,115,74,0.015694065060839334,0.9834188991747564,62.66183397115102
2022-01-05,13589,851520,866064,955,1,71,160,27,259,187,0.015690526335236196,0.9832067837942693,62.66244756788579
2022-01-06,13589,851572,866331,1170,0,52,169,46,267,215,0.015685690573233557,0.9829637863587936,62.66627419236147
2022-01-07,13589,851648,866631,1394,0,76,217,7,300,224,0.015680260687651375,0.9827112115767841,62.67186695121054
2022-01-08,13589,851727,866909,1593,0,79,163,36,278,199,0.015675232348493325,0.9824872045393461,62.67768047685628
2022-01-09,13589,851839,867302,1874,0,112,239,42,393,281,0.015668129440494775,0.9821711468438906,62.68592243726543
2022-01-10,13589,851944,867662,2129,0,105,232,23,360,255,0.015661628606531114,0.9818846509355026,62.69364927514902
2022-01-11,13590,852126,868199,2483,1,182,274,80,537,354,0.01565309335762884,0.9814869632422981,62.70242825607064
2022-01-12,13590,852269,868611,2752,0,143,165,104,412,269,0.01564566877462984,0.9811860545169242,62.71295069904341
2022-01-13,13590,852563,869089,2936,0,294,107,77,478,184,0.015637063637901297,0.9809846862634322,62.7345842531273
2022-01-14,13591,852727,869643,3325,1,164,303,86,554,389,0.015628252052853873,0.9805483399509913,62.74203517033331
