tanggal,meninggal,sembuh,positif,positif_aktif,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2022-04-23,15264,1229971,1246779,1544,0.012242747110754994,0.9865188618030942,80.57986111111111
2022-04-24,15265,1230220,1246914,1429,0.012242223601627699,0.986611747081194,80.59089420242384
2022-04-25,15266,1230368,1247015,1381,0.012242033977137403,0.9866505214452111,80.59530983885759
2022-04-26,15268,1230600,1247214,1346,0.01224168426589182,0.9866791104012623,80.59994760282945
2022-04-27,15271,1230742,1247344,1331,0.012242813530188945,0.9866901191652022,80.59341235020628
2022-04-28,15272,1230989,1247457,1196,0.012242506154520758,0.9867987433634987,80.60430853850184
2022-04-29,15273,1231171,1247583,1139,0.01224207126900575,0.9868449634212714,80.61094742355792
2022-04-30,15274,1231413,1247734,1047,0.012241391193956404,0.9869194876472068,80.62151368338353
2022-05-01,15275,1231573,1247815,967,0.012241397963640443,0.9869836474156826,80.62671031096563
2022-05-02,15277,1231709,1247903,917,0.012242137409718544,0.9870230298348509,80.62505727564313
2022-05-03,15278,1231833,1247943,832,0.012242546334247638,0.987090756548977,80.62789632150805
2022-05-04,15280,1231950,1248005,775,0.012243540690942745,0.9871354682072588,80.625
2022-05-05,15281,1232106,1248091,704,0.012243498270558798,0.9871924402948182,80.6299325960343
2022-05-06,15282,1232228,1248180,670,0.01224342642888045,0.987219792017177,80.63263970684466
2022-05-07,15283,1232328,1248242,631,0.012243619426361235,0.9872508696230379,80.63390695544068
2022-05-08,15284,1232444,1248320,592,0.012243655472955653,0.9872821071520123,80.63622088458519
2022-05-09,15285,1232527,1248422,610,0.01224345613902991,0.987267927031084,80.6363755315669
2022-05-10,15287,1232618,1248572,667,0.012243587073873193,0.9872222026443008,80.63177863544188
2022-05-11,15288,1232696,1248701,717,0.012243123053477174,0.9871826802413067,80.63160648874934
2022-05-12,15290,1232729,1248801,782,0.012243744199436099,0.9871300551488988,80.62321778940483
2022-05-13,15291,1232772,1248902,839,0.012243554738482283,0.9870846551610934,80.62075730822052
2022-05-14,15292,1232867,1249016,857,0.01224323787685666,0.9870706219936334,80.62169761967041
2022-05-15,15293,1232939,1249109,877,0.012243126900854929,0.9870547726419392,80.62113385208919
2022-05-16,15293,1233010,1249179,876,0.01224244083514052,0.9870562985769054,80.62577649905185
2022-05-17,15293,1233102,1249254,859,0.012241705850051311,0.9870706837840824,80.63179232328517
2022-05-18,15294,1233206,1249367,867,0.012241399044476122,0.9870646495385264,80.63332025630966
2022-05-19,15294,1233387,1249457,776,0.012240517280706738,0.9871384129265753,80.64515496273049
2022-05-20,15294,1233494,1249539,751,0.012239714006525607,0.9871592643366873,80.65215117039362
2022-05-21,15294,1233575,1249632,763,0.01223880310363371,0.9871506171416865,80.65744736497973
2022-05-22,15296,1233664,1249742,782,0.012239326196927046,0.9871349446525763,80.65271966527196
2022-05-23,15297,1233779,1249800,724,0.012239558329332692,0.9871811489838375,80.65496502582205
2022-05-24,15300,1233873,1249948,775,0.012240509205182935,0.9871394650017441,80.64529411764705
2022-05-25,15300,1233937,1250076,839,0.012239255853244122,0.9870895849532348,80.64947712418301
2022-05-26,15300,1234021,1250200,879,0.012238041913293873,0.9870588705807071,80.65496732026143
2022-05-27,15300,1234087,1250310,923,0.01223696523262231,0.9870248178451744,80.65928104575164
2022-05-28,15300,1234180,1250414,934,0.012235947454203169,0.987017099936501,80.66535947712418
2022-05-29,15300,1234280,1250503,923,0.012235076605174078,0.987026820407468,80.6718954248366
2022-05-30,15303,1234376,1250584,905,0.012236683021692266,0.9870396550731498,80.66235378683918
2022-05-31,15303,1234487,1250716,926,0.012235391567710016,0.9870242325196128,80.66960726654904
2022-06-01,15303,1234566,1250880,1011,0.012233787413660782,0.986957981580967,80.6747696530092
2022-06-02,15303,1234723,1251038,1012,0.012232242345955918,0.9869588293880761,80.6850290792655
2022-06-03,15303,1234863,1251211,1045,0.012230551042150364,0.9869342580907616,80.69417761223289
2022-06-04,15303,1234976,1251384,1105,0.012228860205979939,0.9868881174763302,80.70156178527087
2022-06-05,15303,1235069,1251579,1207,0.012226954910556984,0.9868086632965238,80.70763902502777
2022-06-06,15303,1235172,1251726,1251,0.01222551900336016,0.986775060995777,80.71436973142521
2022-06-07,15303,1235274,1251986,1409,0.012222980129170773,0.9866516079253282,80.7210350911586
2022-06-08,15303,1235370,1252274,1601,0.01222016906843071,0.9865013567318335,80.72730837090766
2022-06-09,15303,1235508,1252550,1739,0.012217476348249571,0.9863941559219193,80.73632621054695
2022-06-10,15303,1235666,1252883,1914,0.012214229101999149,0.9862580943312345,80.74665098346729
2022-06-11,15303,1235838,1253197,2056,0.012211168714894785,0.9861482272938732,80.75789060968438
2022-06-12,15303,1236002,1253519,2214,0.0122080319484587,0.9860257403358066,80.76860746258903
2022-06-13,15304,1236184,1253867,2379,0.01220544124695841,0.9858972283344246,80.77522216414009
2022-06-14,15304,1236374,1254384,2706,0.012200410719524483,0.9856423551320808,80.7876372190277
2022-06-15,15304,1236528,1255114,3282,0.01219331471085495,0.9851917833758527,80.79769994772609
2022-06-16,15305,1236820,1255810,3685,0.012187353182408166,0.9848782857279366,80.81149950996407
2022-06-17,15305,1237109,1256496,4082,0.012180699341661255,0.9845705835911933,80.83038222803006
2022-06-18,15305,1237400,1257229,4524,0.012173597650070115,0.9842280125577759,80.84939562234564
2022-06-19,15308,1237676,1257964,4980,0.012168869697384026,0.9838723524679561,80.85158087274628
2022-06-20,15309,1238059,1258665,5297,0.012162886868229434,0.9836286859490015,80.87131752563852
2022-06-21,15311,1238392,1259618,5915,0.012155272471495327,0.9831488594161087,80.88250277578211
2022-06-22,15311,1238754,1260844,6779,0.012143453115532136,0.9824799895942717,80.9061459081706
2022-06-23,15311,1239359,1261898,7228,0.012133310299247642,0.9821388099513589,80.94565998301874
2022-06-24,15313,1240028,1263164,7823,0.012122733073456812,0.9816840885269055,80.97877620322602
2022-06-25,15313,1240738,1264209,8158,0.012112712375880887,0.9814342406991249,81.02514203617841
2022-06-26,15313,1241429,1265264,8522,0.012102612577296121,0.9811620341683632,81.0702670933194
2022-06-27,15313,1242286,1266102,8503,0.012094602172652756,0.9811895092180567,81.12623261281264
2022-06-28,15314,1243032,1267352,9006,0.012083462210972168,0.980810382592997,81.16964868747552
2022-06-29,15314,1243738,1268486,9434,0.012072659848039315,0.9804901276009352,81.21575029384877
2022-06-30,15315,1244833,1269741,9593,0.012061514907370873,0.9803834010243034,81.28194580476656
2022-07-01,15316,1245980,1270841,9545,0.012051861719916181,0.9804373639188537,81.35152781405067
2022-07-02,15317,1247144,1271824,9363,0.01204333303979167,0.9805947992804036,81.42221061565581
2022-07-03,15320,1248357,1272755,9078,0.012036880625100667,0.9808305604770753,81.48544386422977
2022-07-04,15323,1249496,1273492,8673,0.012032270324430779,0.9811573217578123,81.54382301115969
2022-07-05,15325,1250388,1274768,9055,0.012021795338445898,0.9808749513636991,81.59138662316477
2022-07-06,15327,1251237,1276284,9720,0.012009082617975309,0.9803750575890633,81.63613231552164
2022-07-07,15329,1252398,1277760,10033,0.011996775607312797,0.9801512021036815,81.70121990997455
